City Name,Cloud Cover (%),Country,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
Ivanjica,75,RS,85,43.58,20.23,20.1,5.82
Tete,75,MZ,83,-16.16,33.59,77.0,4.7
Danville,90,US,96,36.59,-79.4,44.26,4.7
Rikitea,100,PF,100,-23.12,-134.97,76.98,20.29
Punta Arenas,40,CL,88,-53.16,-70.91,53.6,35.57
Sioux Lookout,40,CA,86,50.1,-91.92,29.21,6.93
Cherskiy,56,RU,33,68.75,161.3,-22.3,3.51
Esperance,20,TT,51,10.24,-61.45,86.0,18.34
Iguape,76,BR,91,-24.7,-47.56,82.42,6.64
Mataura,56,NZ,58,-46.19,168.86,60.42,12.8
Piracuruca,56,BR,67,-3.93,-41.72,86.16,3.96
Hilo,75,US,93,19.71,-155.08,68.0,3.36
Qaanaaq,8,GL,75,77.48,-69.36,-4.07,8.43
Mehamn,75,NO,92,71.03,27.85,32.14,2.24
Cabo San Lucas,75,MX,68,22.89,-109.91,67.05,3.36
Camargo,0,MX,26,27.69,-105.17,53.58,4.18
Gizo,0,IL,66,31.8,34.94,56.34,3.36
Bredasdorp,24,ZA,60,-34.53,20.04,75.2,18.34
Lavrentiya,80,RU,100,65.58,-170.99,9.43,15.82
Ocampo,92,PH,86,13.56,123.37,78.78,14.25
Kapaa,75,US,71,22.08,-159.32,70.16,14.99
Ballina,90,IE,93,54.11,-9.15,41.29,5.82
Imbituba,75,BR,78,-28.24,-48.67,77.0,12.75
Atuona,64,PF,100,-9.8,-139.03,80.22,16.49
Jiangyou,76,CN,87,31.78,104.73,29.95,2.73
Nikolskoye,90,RU,92,59.7,30.79,21.2,6.71
Kavieng,36,PG,100,-2.57,150.8,83.05,13.47
Albany,75,US,59,42.65,-73.75,37.94,11.41
Hermanus,8,ZA,71,-34.42,19.24,67.3,3.4
Busselton,0,AU,100,-33.64,115.35,59.43,8.88
Hobart,20,AU,44,-42.88,147.33,60.8,14.99
Ushuaia,75,AR,61,-54.81,-68.31,50.99,27.51
Temiscaming,90,CA,82,46.72,-79.1,33.8,8.05
East London,20,ZA,78,-33.02,27.91,75.2,19.46
Tiksi,44,RU,61,71.64,128.87,-7.63,17.05
Jamestown,24,AU,76,-33.21,138.6,58.3,13.02
Tommot,48,RU,58,58.97,126.27,-2.68,8.77
Maryville,1,US,41,40.35,-94.87,40.35,4.7
Dikson,44,RU,100,73.51,80.55,-2.14,5.19
Pucara,75,BO,54,-21.7,-64.2,77.88,9.17
Bihariganj,0,IN,81,25.73,86.98,51.28,2.73
Port Alfred,8,ZA,75,-33.59,26.89,74.95,6.2
Hinatuan,88,PH,100,8.37,126.34,77.65,7.65
Bluff,0,AU,87,-23.58,149.07,71.35,8.66
Zyryanka,68,RU,69,65.73,150.89,-9.92,2.73
Puerto Ayora,90,EC,65,-0.74,-90.35,82.4,13.87
Butaritari,68,KI,100,3.07,172.79,82.11,7.54
Taoudenni,32,ML,26,22.68,-3.98,62.31,8.21
Bethel,90,US,92,60.79,-161.76,18.18,4.18
Rawlins,1,US,53,41.79,-107.24,34.9,4.7
Los Llanos de Aridane,75,ES,63,28.66,-17.92,66.2,4.7
Ilhabela,88,BR,91,-23.78,-45.36,79.5,9.22
Mahon,75,IE,81,51.89,-8.4,42.8,10.29
Vaini,0,IN,60,15.34,74.49,65.55,4.41
Lucapa,68,AO,88,-8.42,20.74,72.7,4.63
Tateyama,92,JP,100,36.66,137.31,30.63,3.62
Constitucion,75,MX,43,23.99,-104.67,55.4,4.29
Quirinopolis,36,BR,87,-18.45,-50.45,79.45,8.32
Suntar,44,RU,68,62.16,117.65,-5.02,5.86
Warmbad,90,DE,82,50.67,13.08,32.63,13.87
Mar del Plata,0,AR,27,-46.43,-67.52,82.33,14.7
Bemidji,1,US,97,47.48,-94.89,28.92,3.36
Yellowknife,90,CA,84,62.45,-114.38,-2.21,8.05
Preetz,75,DE,87,54.24,10.28,44.01,16.11
Marsa Matruh,20,EG,66,31.35,27.25,53.6,10.29
Hithadhoo,56,MV,100,-0.6,73.08,82.33,8.55
San Luis,48,AR,32,-33.3,-66.34,92.28,3.96
Atambua,88,ID,100,-9.11,124.89,79.14,8.32
Waipawa,0,NZ,88,-39.94,176.59,53.13,3.74
Pimenta Bueno,24,BR,64,-11.68,-61.19,89.58,2.95
Sistranda,75,NO,100,63.73,8.83,44.6,14.99
Port Lincoln,20,AU,92,-34.72,135.86,62.35,13.58
Khatanga,36,RU,68,71.98,102.47,-15.28,2.62
Along,0,IN,89,28.17,94.8,35.13,1.72
Boyuibe,75,BO,66,-20.43,-63.28,84.2,9.22
Longyearbyen,75,NO,79,78.22,15.63,26.6,17.22
Barrow,0,AR,49,-38.31,-60.23,83.46,11.01
Klaksvik,64,FO,93,62.23,-6.59,48.2,16.11
Avarua,75,CK,88,-21.21,-159.78,77.0,9.17
San Patricio,80,PY,85,-26.98,-56.83,82.78,5.97
Iqaluit,75,CA,75,63.75,-68.52,-18.41,3.36
Oeiras,12,BR,40,-7.01,-42.13,96.51,4.74
Haines Junction,80,CA,79,60.75,-137.51,3.81,2.17
Pevek,68,RU,100,69.7,170.27,-12.76,10.45
Kutum,12,SD,61,14.2,24.66,63.88,3.4
Krasnoarmeysk,90,RU,100,56.12,38.15,23.94,6.71
